
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents,Specialized AI agents,"Markdown, Bash"
C:\Users\AlexJ\Documents\Coding\Repos\j-gravelle-repos\jcodemunch-mcp,structured retrieval,Python
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse,private AI workspace,"React, TypeScript, Go, MongoDB, MySQL, Redis"
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents,AI agent collection,"Markdown, Bash"
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\examples,multi-agent orchestration,Python
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations,AI agent integrations,"Shell, Markdown"
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\gemini-cli,Gemini CLI extension,"Bash, JSON"
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\github-copilot,GitHub Copilot,"Markdown, YAML, Bash"
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\mcp-memory,persistent agent memory,Model Context Protocol (MCP)
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\openclaw,agent workspace integration,Bash
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\opencode,OpenCode integration,Bash
C:\Users\AlexJ\Documents\Coding\Repos\agency-agents\integrations\windsurf,Windsurf agent integration,Shell
C:\Users\AlexJ\Documents\Coding\Repos\Alita,self-evolving agent,Python
C:\Users\AlexJ\Documents\Coding\Repos\Alita\.pytest_cache,testing,Python
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse,private AI workspace,"React, TypeScript, Go, MongoDB, Redis"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse\.pytest_cache,pytest cache,Python
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse\docs\images,branding assets,None
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse\frontend\src\components\artifacts,artifact rendering,"TypeScript, React"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse\frontend\src\components\design-system,Design System,"React, TypeScript, CSS"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse\frontend\src\features,feature-based architecture,"TypeScript, React"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse-1.2.62-pre-1\ClaraVerse-1.2.62-pre-1,offline AI assistant,"JavaScript, React, Electron"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\ClaraVerse-1.2.62-pre-1\ClaraVerse-1.2.62-pre-1\assets\icons\png,Electron Linux icons,"Bash, ImageMagick"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\gpt-crawler-python,web crawling,"Python, FastAPI, Redis, RQ, Playwright"
C:\Users\AlexJ\Documents\Coding\Repos\badboy17g-repos\Youtube2Blog,YouTube to blog,"Python, FastAPI"
